Make,,Make_Year,CC,Assembly,Registered City,Transmission,,Price,Categories
Toyota,,2013,1300,Local,Lahore,Manual,,1500000,15-20 lac
Suzuki,,2014,1000,Local,Karachi,Manual,,1100000,10-15 lac
Toyota,,2019,1600,Local,Un-Registered,Automatic,,3540000,10-15 lac
Suzuki,,2015,1000,Local,Karachi,Manual,,955000,25-50 lac
Toyota,,2019,1600,Local,Lahore,Automatic,,3420000,5-10 lac
Suzuki,,2014,1000,Local,Lahore,Manual,,1095000,25-50 lac
Suzuki,,2018,800,Local,Lahore,Manual,,1025000,10-15 lac
Daihatsu,,2016,1000,Imported,Lahore,Automatic,,2200000,10-15 lac
Honda,,2013,1300,Local,Karachi,Manual,,1730000,20-25 lac
Toyota,,2015,1500,Imported,Un-Registered,Automatic,,3980000,15-20 lac
Toyota,,2015,1600,Local,Islamabad,Automatic,,2720000,25-50 lac
Toyota,,2011,1300,Local,Karachi,Manual,,1755000,25-50 lac
Suzuki,,2007,660,Imported,Lahore,Automatic,,950000,15-20 lac
Suzuki,,2006,800,Local,Karachi,Manual,,340000,5-10 lac
Land,,2004,2500,Local,Un-Registered,Manual,,4700000,under 5 lac
Honda,,2015,1800,Local,Lahore,Automatic,,3000000,25-50 lac
Toyota,,2002,3400,Local,Karachi,Automatic,,6000000,25-50 lac
Daihatsu,,2016,660,Imported,Karachi,Automatic,,1650000,50-100 lac
Toyota,,2015,1500,Imported,Karachi,Automatic,,3500000,15-20 lac
Toyota,,2010,1800,Imported,Karachi,Automatic,,2400000,25-50 lac
Toyota,,1997,3000,Local,Karachi,Manual,,2300000,20-25 lac
Honda,,2016,1500,Imported,Un-Registered,Automatic,,4550000,20-25 lac
Toyota,,2018,1000,Imported,Un-Registered,Automatic,,2925000,25-50 lac
Suzuki,,1995,1000,Local,Islamabad,Manual,,380000,25-50 lac
Toyota,,2015,1000,Imported,Lahore,Automatic,,2225000,under 5 lac
Suzuki,,2007,1000,Local,Lahore,Manual,,685000,20-25 lac
Toyota,,2016,2700,Local,Lahore,Automatic,,6650000,5-10 lac
Honda,,2009,1800,Local,Islamabad,Automatic,,1875000,50-100 lac
Toyota,,2017,1600,Local,Karachi,Automatic,,2900000,15-20 lac
Suzuki,,2004,800,Local,Lahore,Manual,,390000,25-50 lac
Mercedes,,2018,1600,Local,Islamabad,Automatic,,11300000,under 5 lac
Honda,,2018,1300,Local,Lahore,Automatic,,2475000,FALSE
Daihatsu,,2017,660,Imported,Un-Registered,Automatic,,2150000,20-25 lac
Toyota,,2017,1600,Local,Karachi,Automatic,,3250000,20-25 lac
Toyota,,2015,1300,Local,Karachi,Manual,,2050000,25-50 lac
Toyota,,2017,1300,Imported,Un-Registered,Automatic,,2675000,20-25 lac
Toyota,,2012,4600,Imported,Islamabad,Automatic,,24500000,25-50 lac
Toyota,,2014,1500,Imported,Islamabad,Automatic,,2600000,FALSE
Changan,,2021,1500,Local,Un-Registered,Automatic,,2950000,25-50 lac
Honda,,2013,1300,Local,Lahore,Manual,,1895000,25-50 lac
Honda,,2016,1500,Imported,Lahore,Automatic,,4500000,15-20 lac
Toyota,,2008,4600,Imported,Lahore,Automatic,,15900000,25-50 lac
Daihatsu,,2013,660,Imported,Un-Registered,Automatic,,1300000,FALSE
Toyota,,2014,1000,Imported,Karachi,Automatic,,2000000,10-15 lac
Suzuki,,2019,1600,Local,Karachi,Automatic,,4200000,15-20 lac
Honda,,2020,1800,Local,Islamabad,Automatic,,4395000,25-50 lac
Toyota,,2006,1500,Imported,Karachi,Automatic,,2170000,25-50 lac
Suzuki,,2019,1500,Local,Karachi,Manual,,2300000,20-25 lac
Suzuki,,2015,800,Local,Multan,Manual,,750000,20-25 lac
Daihatsu,,2018,660,Imported,Un-Registered,Automatic,,2150000,5-10 lac
Honda,,2018,1800,Local,Islamabad,Automatic,,3800000,20-25 lac
Toyota,,2014,1800,Imported,Islamabad,Automatic,,3025000,25-50 lac
Honda,,2015,1500,Local,Islamabad,Automatic,,4000000,25-50 lac
Toyota,,2015,1300,Local,Faisalabad,Manual,,2350000,25-50 lac
Toyota,,2009,1000,Imported,Karachi,Automatic,,1400000,20-25 lac
Toyota,,2012,1600,Local,Islamabad,Automatic,,2450000,10-15 lac
Suzuki,,2018,800,Local,Islamabad,Manual,,970000,20-25 lac
Daihatsu,,2006,800,Local,Islamabad,Manual,,645000,5-10 lac
Honda,,2001,1600,Local,Islamabad,Manual,,1045000,5-10 lac
Toyota,,2017,2700,Imported,Un-Registered,Automatic,,23500000,10-15 lac
Suzuki,,2018,660,Local,Un-Registered,Automatic,,2050000,FALSE
Toyota,,2007,1800,Imported,Islamabad,Automatic,,3050000,20-25 lac
MG,,2021,1500,Local,Un-Registered,Automatic,,6325000,25-50 lac
Toyota,,2011,2700,Imported,Islamabad,Automatic,,12700000,50-100 lac
Toyota,,2021,2800,Local,Un-Registered,Automatic,,10700000,FALSE
Toyota,,2017,1000,Imported,Un-Registered,Automatic,,2590000,FALSE
Daihatsu,,2017,660,Imported,Un-Registered,Automatic,,2315000,25-50 lac
Toyota,,2005,4200,Imported,Karachi,Automatic,,6700000,20-25 lac
Honda,,2016,1800,Local,Islamabad,Automatic,,3275000,50-100 lac
Toyota,,2018,1800,Imported,Islamabad,Automatic,,3875000,25-50 lac
Toyota,,2020,1500,Local,Gujranwala,Automatic,,3150000,25-50 lac
Toyota,,2018,1600,Local,Islamabad,Automatic,,3380000,25-50 lac
Toyota,,2015,2700,Imported,Un-Registered,Automatic,,19000000,25-50 lac
Honda,,2013,1800,Local,Lahore,Automatic,,2350000,FALSE
Toyota,,2018,2700,Local,Karachi,Automatic,,8600000,20-25 lac
Toyota,,2013,1800,Imported,Islamabad,Automatic,,3000000,50-100 lac
Toyota,,2021,1600,Local,Un-Registered,Automatic,,4000000,25-50 lac
Toyota,,2005,2500,Imported,Lahore,Automatic,,2650000,25-50 lac
Suzuki,,2014,1300,Local,Karachi,Automatic,,1630000,25-50 lac
Suzuki,,2019,800,Local,Lahore,Manual,,1160000,15-20 lac
Honda,,2018,1500,Local,Islamabad,Automatic,,3150000,10-15 lac
Suzuki,,2014,800,Local,Karachi,Manual,,620000,25-50 lac
Suzuki,,2018,1000,Local,Lahore,Manual,,1625000,5-10 lac
Honda,,2007,1300,Local,Lahore,Automatic,,1565000,15-20 lac
Toyota,,2014,1300,Local,Lahore,Manual,,1695000,15-20 lac
Honda,,2012,1800,Local,Islamabad,Automatic,,2300000,15-20 lac
Honda,,2004,1600,Local,Lahore,Manual,,1080000,20-25 lac
Suzuki,,2006,800,Local,Multan,Manual,,490000,10-15 lac
Honda,,2015,1500,Imported,Islamabad,Automatic,,2500000,under 5 lac
Suzuki,,2008,1000,Local,Islamabad,Manual,,830000,20-25 lac
Toyota,,2010,1800,Local,Islamabad,Manual,,1900000,5-10 lac
Toyota,,2019,2800,Local,Islamabad,Automatic,,7700000,15-20 lac
Hyundai,,2003,1000,Local,Lahore,Manual,,680000,50-100 lac
Honda,,2018,1500,Imported,Un-Registered,Automatic,,5600000,5-10 lac
Toyota,,2014,1500,Local,Karachi,Automatic,,2900000,50-100 lac
Suzuki,,2011,1000,Local,Lahore,Manual,,1125000,25-50 lac
Mitsubishi,,2015,660,Imported,Un-Registered,Automatic,,1495000,10-15 lac
Toyota,,2005,4700,Imported,Un-Registered,Automatic,,2400000,10-15 lac
Suzuki,,2013,660,Imported,Islamabad,Automatic,,1380000,20-25 lac
Daihatsu,,2020,660,Imported,Un-Registered,Automatic,,2100000,10-15 lac
Toyota,,2014,1500,Imported,Karachi,Automatic,,2325000,20-25 lac
Toyota,,2018,1300,Local,Lahore,Manual,,3000000,20-25 lac
Honda,,2017,1800,Imported,Lahore,Automatic,,3400000,25-50 lac
Toyota,,2018,1000,Imported,Un-Registered,Automatic,,2200000,25-50 lac
Honda,,1995,1500,Local,Karachi,Manual,,560000,20-25 lac
Mitsubishi,,2018,1000,Imported,Islamabad,Automatic,,1800000,5-10 lac
Toyota,,2015,1300,Local,Rawalpindi,Manual,,2400000,15-20 lac
Suzuki,,2015,660,Imported,Lahore,Automatic,,1300000,20-25 lac
Toyota,,2014,1000,Imported,Lahore,Automatic,,1875000,10-15 lac
Toyota,,2017,1300,Local,Lahore,Manual,,2875000,15-20 lac
Suzuki,,2010,1300,Local,Islamabad,Manual,,1050000,25-50 lac
Toyota,,1994,1500,Local,Lahore,Manual,,1350000,10-15 lac
Honda,,2009,1800,Local,Karachi,Automatic,,1900000,10-15 lac
Honda,,2008,1300,Local,Karachi,Manual,,1150000,15-20 lac
Toyota,,2012,1000,Imported,Islamabad,Automatic,,1850000,10-15 lac
Toyota,,2018,1600,Local,Islamabad,Automatic,,3350000,15-20 lac
Toyota,,2014,2500,Imported,Karachi,Automatic,,5100000,25-50 lac
Toyota,,2011,1800,Imported,Islamabad,Automatic,,2515000,50-100 lac
Subaru,,2017,660,Imported,Un-Registered,Automatic,,2100000,25-50 lac
Toyota,,2012,1600,Local,Islamabad,Manual,,1950000,20-25 lac
Honda,,2015,1500,Imported,Un-Registered,Automatic,,4500000,15-20 lac
Honda,,2013,660,Imported,Lahore,Automatic,,980000,25-50 lac
Toyota,,2013,1600,Local,Lahore,Automatic,,2200000,5-10 lac
Toyota,,2012,1300,Local,Lahore,Manual,,1650000,20-25 lac
Hyundai,,2005,1000,Local,Lahore,Manual,,750000,15-20 lac
Honda,,2014,1500,Imported,Islamabad,Automatic,,3900000,5-10 lac
Toyota,,2013,1600,Local,Lahore,Automatic,,1850000,25-50 lac
Toyota,,2021,1800,Local,Un-Registered,Automatic,,4450000,15-20 lac
Honda,,2015,1800,Local,Islamabad,Automatic,,2475000,25-50 lac
Honda,,2013,660,Imported,Lahore,Automatic,,1620000,20-25 lac
Honda,,2015,1500,Local,Lahore,Automatic,,1190000,15-20 lac
Toyota,,2007,1000,Imported,Lahore,Automatic,,1435000,10-15 lac
Suzuki,,2015,660,Imported,Islamabad,Automatic,,1485000,10-15 lac
Nissan,,2017,660,Imported,Lahore,Automatic,,1750000,10-15 lac
Honda,,2017,1800,Local,Islamabad,Automatic,,2275000,15-20 lac
Toyota,,2013,1800,Imported,Lahore,Automatic,,2750000,20-25 lac
Suzuki,,2015,1000,Local,Lahore,Manual,,1150000,25-50 lac
Honda,,2015,1800,Local,Karachi,Automatic,,2785000,10-15 lac
Honda,,2019,1300,Local,Lahore,Automatic,,2800000,25-50 lac
Honda,,2014,1800,Local,Lahore,Manual,,2190000,25-50 lac
Honda,,2009,1800,Local,Lahore,Automatic,,1835000,20-25 lac
Toyota,,2012,2700,Imported,Islamabad,Automatic,,13500000,15-20 lac
MG,,2021,4000,Imported,Un-Registered,Automatic,,6500000,FALSE
Toyota,,2015,1300,Local,Islamabad,Manual,,242000,50-100 lac
Toyota,,2006,1500,Imported,Islamabad,Automatic,,2150000,under 5 lac
Honda,,2020,1500,Local,Islamabad,Automatic,,3585000,20-25 lac
KIA,,2020,2000,Local,Islamabad,Automatic,,5250000,25-50 lac
Toyota,,2001,1000,Imported,Karachi,Automatic,,1190000,50-100 lac
Toyota,,2004,1600,Local,Islamabad,Manual,,1290000,10-15 lac
Honda,,2006,1300,Imported,Karachi,Automatic,,1150000,10-15 lac
KIA,,2020,1000,Local,Un-Registered,Automatic,,2150000,10-15 lac
Honda,,2009,1800,Local,Karachi,Manual,,1100000,20-25 lac
Toyota,,2014,1600,Local,Karachi,Automatic,,2350000,10-15 lac
Nissan,,2007,1300,Imported,Islamabad,Automatic,,1480000,20-25 lac
Mitsubishi,,2007,660,Imported,Lahore,Automatic,,915000,10-15 lac
Honda,,2016,1300,Local,Islamabad,Automatic,,2390000,5-10 lac
Honda,,2017,1500,Imported,Un-Registered,Automatic,,4050000,20-25 lac
Toyota,,2017,1000,Imported,Un-Registered,Automatic,,2630000,25-50 lac
Toyota,,2017,1600,Local,Karachi,Automatic,,3400000,25-50 lac
Toyota,,2017,1000,Imported,Un-Registered,Automatic,,2600000,25-50 lac
Toyota,,2013,1000,Imported,Lahore,Automatic,,1800000,25-50 lac
Suzuki,,2016,660,Imported,Un-Registered,Automatic,,1650000,15-20 lac
Daihatsu,,2018,660,Imported,Un-Registered,Automatic,,2190000,15-20 lac
Toyota,,2015,1000,Imported,Lahore,Automatic,,2075000,20-25 lac
Toyota,,2016,1500,Imported,Lahore,Automatic,,2750000,20-25 lac
Toyota,,2006,3000,Local,Abottabad,Manual,,3000000,25-50 lac
Toyota,,2009,1300,Local,Islamabad,Manual,,1750000,25-50 lac
Honda,,2015,1300,Local,Lahore,Manual,,2125000,15-20 lac
Daihatsu,,2012,800,Local,Karachi,Manual,,880000,20-25 lac
Lexus,,2009,3500,Imported,Islamabad,Automatic,,6800000,5-10 lac
Daihatsu,,2013,660,Imported,Karachi,Automatic,,1430000,50-100 lac
Mercedes,,2014,1800,Local,Islamabad,Automatic,,7800000,10-15 lac
Suzuki,,2007,800,Local,Islamabad,Manual,,480000,50-100 lac
Suzuki,,2006,1300,Local,Karachi,Manual,,690000,under 5 lac
Suzuki,,2011,660,Imported,Lahore,Automatic,,1400000,5-10 lac
Suzuki,,2015,1000,Local,Lahore,Manual,,1230000,10-15 lac
Honda,,2006,1800,Local,Lahore,Manual,,1525000,10-15 lac
Honda,,2003,2400,Imported,Karachi,Automatic,,1600000,15-20 lac
Honda,,2012,1800,Local,Karachi,Automatic,,2250000,15-20 lac
Suzuki,,2018,1000,Local,Lahore,Manual,,1585000,20-25 lac
Honda,,2016,1800,Local,Lahore,Automatic,,3350000,15-20 lac
Toyota,,2018,1500,Imported,Un-Registered,Automatic,,3275000,25-50 lac
Mitsubishi,,2012,1000,Imported,Lahore,Automatic,,1560000,25-50 lac
Daihatsu,,2012,660,Imported,Lahore,Automatic,,1250000,15-20 lac
Toyota,,2008,4600,Imported,Lahore,Automatic,,16500000,10-15 lac
Mitsubishi,,2012,660,Imported,Lahore,Automatic,,1625000,FALSE
Daihatsu,,2012,800,Local,Karachi,Automatic,,915000,15-20 lac
Toyota,,2005,2500,Imported,Lahore,Automatic,,3000000,5-10 lac
Honda,,2005,1600,Local,Lahore,Automatic,,1350000,25-50 lac
Honda,,2014,1800,Local,Lahore,Automatic,,2650000,10-15 lac
Nissan,,2017,660,Imported,Un-Registered,Automatic,,1980000,25-50 lac
Honda,,2016,1500,Imported,Islamabad,Automatic,,4225000,15-20 lac
Toyota,,2011,1800,Local,Lahore,Automatic,,2500000,25-50 lac
Toyota,,2003,3000,Imported,Karachi,Automatic,,6000000,20-25 lac
Honda,,2014,1800,Local,Lahore,Automatic,,2650000,50-100 lac
Honda,,2011,1800,Local,Karachi,Automatic,,1790000,25-50 lac
Toyota,,2016,1300,Local,Lahore,Automatic,,2490000,15-20 lac
Honda,,2018,1500,Local,Karachi,Automatic,,3060000,20-25 lac
Suzuki,,2008,1000,Local,Multan,Manual,,700000,25-50 lac
Honda,,1998,1500,Local,Lahore,Automatic,,950000,5-10 lac
Toyota,,2020,2700,Local,Lahore,Automatic,,9200000,5-10 lac
Honda,,2015,660,Imported,Lahore,Automatic,,1775000,50-100 lac
Suzuki,,2018,660,Imported,Un-Registered,Automatic,,1610000,15-20 lac
Suzuki,,2018,800,Local,Lahore,Manual,,1085000,15-20 lac
Toyota,,2019,1300,Local,Lahore,Manual,,3150000,10-15 lac
Toyota,,2018,1300,Local,Islamabad,Manual,,2995000,25-50 lac
Daihatsu,,2008,660,Imported,Karachi,Automatic,,1380000,25-50 lac
Daihatsu,,2017,660,Local,Un-Registered,Automatic,,2345000,10-15 lac
Hyundai,,2021,2000,Local,Islamabad,Automatic,,6450000,20-25 lac
Honda,,2005,1500,Local,Faisalabad,Automatic,,1230000,50-100 lac
Toyota,,2017,1000,Imported,Lahore,Automatic,,2475000,10-15 lac
Honda,,2018,1800,Local,Lahore,Automatic,,3890000,20-25 lac
Toyota,,2017,1000,Imported,Un-Registered,Automatic,,2495000,25-50 lac
Honda,,2019,660,Imported,Un-Registered,Automatic,,2450000,20-25 lac
Suzuki,,2004,1000,Local,Lahore,Manual,,500000,20-25 lac
Audi,,2017,1200,Imported,Lahore,Automatic,,7000000,under 5 lac
Suzuki,,2006,1000,Local,Lahore,Manual,,670000,50-100 lac
Toyota,,2013,1500,Imported,Islamabad,Automatic,,2250000,5-10 lac
Suzuki,,2006,1300,Local,Peshawar,Manual,,595000,20-25 lac
Suzuki,,2020,660,Local,Islamabad,Manual,,1590000,5-10 lac
Suzuki,,2019,1000,Local,Faisalabad,Automatic,,2050000,15-20 lac
Toyota,,1998,1300,Local,Rawalpindi,Manual,,1250000,20-25 lac
Suzuki,,1993,1000,Local,Lahore,Manual,,365000,10-15 lac
Suzuki,,2013,1000,Local,Sialkot,Manual,,1100000,under 5 lac
Suzuki,,2004,1000,Local,Faisalabad,Manual,,560000,10-15 lac
Range,,2018,5000,Imported,Un-Registered,Automatic,,95000000,5-10 lac
Toyota,,2018,1300,Local,Karachi,Automatic,,2925000,FALSE
Honda,,2014,1800,Local,Lahore,Automatic,,2700000,25-50 lac
Suzuki,,2014,800,Local,Karachi,Manual,,710000,25-50 lac
Suzuki,,2012,1300,Local,Faisalabad,Manual,,1350000,5-10 lac
Suzuki,,2015,660,Imported,Islamabad,Automatic,,1550000,10-15 lac
Toyota,,2010,1000,Imported,Karachi,Automatic,,1550000,15-20 lac
Toyota,,2019,1300,Local,Islamabad,Manual,,3150000,15-20 lac
Mercedes,,2007,1800,Imported,Lahore,Automatic,,4200000,25-50 lac
Honda,,2012,1800,Local,Lahore,Automatic,,2285000,25-50 lac
Honda,,2016,1800,Local,Islamabad,Automatic,,3350000,20-25 lac
Honda,,2021,1500,Local,Un-Registered,Automatic,,3050000,25-50 lac
Suzuki,,2018,1300,Local,Islamabad,Manual,,1785000,25-50 lac
Toyota,,2016,4608,Imported,Un-Registered,Automatic,,36600000,15-20 lac
Toyota,,2017,4608,Imported,Un-Registered,Automatic,,42500000,FALSE
Toyota,,2016,1300,Local,Lahore,Manual,,2565000,FALSE
Daihatsu,,2007,1000,Imported,Lahore,Automatic,,1365000,25-50 lac
Toyota,,2015,2700,Imported,Un-Registered,Automatic,,16300000,10-15 lac
Toyota,,2012,4000,Imported,Islamabad,Automatic,,15800000,FALSE
Honda,,2018,1800,Local,Islamabad,Automatic,,3690000,FALSE
Suzuki,,2017,1000,Local,Karachi,Manual,,1250000,25-50 lac
Suzuki,,2012,660,Imported,Islamabad,Automatic,,1190000,10-15 lac
Toyota,,2013,1300,Imported,Lahore,Manual,,1975000,10-15 lac
Toyota,,2018,1800,Local,Karachi,Automatic,,3750000,15-20 lac
Hyundai,,2004,1000,Local,Lahore,Manual,,750000,25-50 lac
Toyota,,2003,3400,Imported,Lahore,Automatic,,7250000,5-10 lac
Suzuki,,2009,800,Local,Lahore,Manual,,570000,50-100 lac
Suzuki,,2018,1000,Local,Lahore,Manual,,1600000,5-10 lac
Toyota,,2018,1300,Local,Karachi,Manual,,3050000,15-20 lac
Suzuki,,2014,660,Imported,Islamabad,Automatic,,1400000,25-50 lac
Honda,,2015,1300,Local,Karachi,Automatic,,2450000,10-15 lac
Toyota,,2012,1300,Local,Karachi,Manual,,1650000,20-25 lac
Suzuki,,2003,800,Local,Faisalabad,Manual,,390000,15-20 lac
Toyota,,2018,1600,Local,Lahore,Automatic,,3400000,under 5 lac
Honda,,2017,1500,Local,Faisalabad,Manual,,2375000,25-50 lac
Toyota,,2016,4608,Imported,Un-Registered,Automatic,,33700000,20-25 lac
Toyota,,2005,2700,Imported,Karachi,Automatic,,5500000,FALSE
Honda,,2017,1800,Local,Islamabad,Automatic,,3595000,50-100 lac
Honda,,2018,1800,Local,Lahore,Automatic,,3770000,25-50 lac
Toyota,,2017,2700,Local,Islamabad,Automatic,,8000000,25-50 lac
Daihatsu,,2012,660,Imported,Lahore,Automatic,,1500000,50-100 lac
Toyota,,2011,1600,Local,Islamabad,Automatic,,2200000,10-15 lac
Mercedes,,2003,1800,Imported,Karachi,Automatic,,3600000,20-25 lac
Suzuki,,2010,1300,Local,Karachi,Manual,,1050000,25-50 lac
Suzuki,,2019,800,Local,Lahore,Manual,,1125000,10-15 lac
Suzuki,,2016,1000,Local,Karachi,Manual,,1350000,10-15 lac
Daihatsu,,2010,1000,Imported,Karachi,Automatic,,1500000,10-15 lac
Toyota,,2015,1300,Local,Islamabad,Automatic,,2450000,10-15 lac
Honda,,2016,1300,Local,Lahore,Manual,,2075000,20-25 lac
Suzuki,,2005,1300,Local,Islamabad,Manual,,820000,20-25 lac
Toyota,,2019,1800,Local,Islamabad,Automatic,,4100000,5-10 lac
Toyota,,2017,1300,Local,Karachi,Manual,,2700000,25-50 lac
Toyota,,2011,2500,Local,Lahore,Manual,,3320000,25-50 lac
Toyota,,2002,1500,Local,Islamabad,Automatic,,2000000,25-50 lac
Toyota,,2016,1800,Local,Islamabad,Automatic,,2700000,15-20 lac
Suzuki,,2016,800,Local,Lahore,Manual,,815000,25-50 lac
Suzuki,,2006,1300,Local,Karachi,Manual,,720000,5-10 lac
Toyota,,2009,1300,Local,Islamabad,Manual,,1430000,5-10 lac
Honda,,2019,1800,Local,Islamabad,Automatic,,4150000,10-15 lac
Toyota,,2019,1800,Local,Lahore,Automatic,,4100000,25-50 lac
Toyota,,2019,1300,Local,Lahore,Automatic,,3450000,25-50 lac
Toyota,,2008,1300,Local,Lahore,Manual,,1269000,25-50 lac
Suzuki,,2011,660,Imported,Karachi,Automatic,,1200000,10-15 lac
Toyota,,2020,2700,Local,Islamabad,Automatic,,9395000,10-15 lac
Honda,,2014,1800,Local,Lahore,Automatic,,2300000,50-100 lac
Nissan,,2002,1000,Imported,Islamabad,Automatic,,1150000,20-25 lac
Honda,,2015,1500,Imported,Lahore,Automatic,,3475000,10-15 lac
Honda,,2017,1500,Imported,Un-Registered,Automatic,,4050000,25-50 lac
Honda,,2015,1500,Imported,Un-Registered,Automatic,,4400000,25-50 lac
Honda,,2007,1300,Local,Karachi,Automatic,,1380000,25-50 lac
Suzuki,,2010,1300,Imported,Islamabad,Automatic,,1450000,10-15 lac
Toyota,,2017,1000,Imported,Un-Registered,Automatic,,2700000,10-15 lac
Honda,,2013,1800,Local,Karachi,Automatic,,2425000,25-50 lac
Honda,,2011,1300,Local,Karachi,Automatic,,1860000,20-25 lac
Suzuki,,2012,800,Local,Karachi,Manual,,700000,15-20 lac
Toyota,,2018,1000,Imported,Un-Registered,Automatic,,2800000,5-10 lac
Toyota,,2008,1000,Imported,Karachi,Automatic,,1375000,25-50 lac
Toyota,,2010,1000,Imported,Karachi,Automatic,,1650000,10-15 lac
Honda,,1998,1300,Local,Sialkot,Manual,,720000,15-20 lac
Suzuki,,2012,1000,Local,Karachi,Manual,,790000,5-10 lac
Toyota,,1997,4200,Imported,Mirpur A.K.,Automatic,,3200000,5-10 lac
Toyota,,2018,1500,Imported,Un-Registered,Automatic,,3350000,25-50 lac
Honda,,2014,1500,Imported,Karachi,Automatic,,3500000,25-50 lac
Suzuki,,2009,1600,Local,Karachi,Automatic,,950000,25-50 lac
Suzuki,,2006,660,Imported,Lahore,Automatic,,980000,5-10 lac
Honda,,2015,1500,Imported,Un-Registered,Automatic,,4600000,5-10 lac
Suzuki,,2011,1000,Local,Karachi,Manual,,750000,25-50 lac
Suzuki,,2014,800,Local,Lahore,Manual,,900000,5-10 lac
Toyota,,2018,2700,Local,Islamabad,Automatic,,8450000,5-10 lac
Toyota,,2020,2800,Local,Islamabad,Automatic,,6200000,50-100 lac
Toyota,,2009,1300,Imported,Islamabad,Automatic,,1560000,50-100 lac
Honda,,2004,1600,Local,Lahore,Automatic,,1125000,15-20 lac
Toyota,,2018,1600,Local,Islamabad,Automatic,,3380000,10-15 lac
Daihatsu,,2017,660,Imported,Un-Registered,Automatic,,1940000,25-50 lac
Toyota,,2017,1500,Imported,Un-Registered,Automatic,,3600000,15-20 lac
Toyota,,2021,1500,Local,Un-Registered,Automatic,,3160000,25-50 lac
Toyota,,2019,1000,Imported,Un-Registered,Automatic,,2600000,25-50 lac
Toyota,,2015,1800,Local,Lahore,Automatic,,3075000,25-50 lac
Suzuki,,2017,800,Local,Rawalpindi,Manual,,890000,25-50 lac
Toyota,,2013,1500,Imported,Islamabad,Automatic,,2450000,5-10 lac
Toyota,,2016,1500,Imported,Un-Registered,Automatic,,3350000,20-25 lac
Honda,,2011,1300,Local,Lahore,Manual,,1795000,25-50 lac
Suzuki,,2016,800,Local,Lahore,Manual,,850000,15-20 lac
Suzuki,,2007,800,Local,Islamabad,Manual,,520000,5-10 lac
Toyota,,2012,3000,Imported,Karachi,Automatic,,4950000,5-10 lac
Suzuki,,1997,1000,Local,Lahore,Manual,,420000,25-50 lac
Toyota,,2017,1600,Local,Lahore,Automatic,,3150000,under 5 lac
Honda,,2008,1800,Imported,Karachi,Automatic,,1850000,25-50 lac
Suzuki,,2015,800,Local,Lahore,Manual,,900000,15-20 lac
Toyota,,2016,4600,Imported,Lahore,Automatic,,35000000,5-10 lac
Toyota,,2007,1000,Imported,Karachi,Automatic,,1210000,FALSE
Suzuki,,2018,1000,Local,Lahore,Manual,,160000,10-15 lac
Toyota,,2016,1500,Imported,Islamabad,Automatic,,2999000,under 5 lac
Mitsubishi,,2007,1600,Imported,Islamabad,Manual,,850000,25-50 lac
